Sample,Mutation,Compression,n_Nodes,n_Edges,Total_Length,n_Mitochondria,Ave_Edge_Length,Median_Edge_Length,Ave_Width_um,Std_Width_um,ThreeWayJunc,FourWayJunc,MitoGraphCS
Cancer_2W_001_000,Cancer,2W,764,734,915.29949,120,1.24700203,1.01655,0.25659,0.06184,55,4,637.9150889
Cancer_2W_002_001,Cancer,2W,951,739,776.2572,260,1.050415697,0.73511,0.2487,0.06639,43,6,494.85689699999995
Cancer_2W_003_002,Cancer,2W,746,615,691.6172799999999,178,1.124580943,1.589965,0.25978,0.06262999999999999,33,0,451.2824365
Cancer_2W_003_003,Cancer,2W,691,568,680.06206,172,1.197292359,0.8008350000000001,0.26465,0.06436,26,5,441.19980189999995
Cancer_2W_003_004,Cancer,2W,609,527,533.85138,124,1.013000721,1.200125,0.25773,0.0677,27,6,361.0293807
Cancer_2W_003_005,Cancer,2W,697,574,614.99641,168,1.0714223170000001,1.01367,0.26166999999999996,0.06409,21,5,398.3941271
Cancer_2W_004_006,Cancer,2W,473,415,462.25727,97,1.11387294,1.07075,0.25784,0.0607,26,3,310.33777189999995
Cancer_2W_005_007,Cancer,2W,657,531,529.37655,174,0.996942655,0.989455,0.2539,0.06919,22,8,341.6883244
Cancer_2W_006_008,Cancer,2W,546,459,489.61454000000003,124,1.066698344,0.6184649999999999,0.24194000000000002,0.06837,22,6,325.3276282
Cancer_2W_007_009,Cancer,2W,841,790,816.69173,144,1.033787,0.9817450000000001,0.24750999999999998,0.06496,62,9,569.2627364
Cancer_2W_007_010,Cancer,2W,258,220,280.97475,59,1.277157955,1.33571,0.26378,0.06467,14,2,188.07739840000002
Cancer_2W_008_011,Cancer,2W,1103,855,996.4526800000001,314,1.165441731,1.28536,0.25126,0.06638,37,4,625.5212004
Cancer_2W_009_012,Cancer,2W,992,760,818.1202099999999,289,1.076473961,1.15615,0.26371999999999995,0.06516,31,3,508.3170602
Cancer_2W_010_013,Cancer,2W,1077,850,889.43484,285,1.0463939290000002,1.08511,0.25835,0.0667,35,11,568.2234582000001
Cancer_2W_011_014,Cancer,2W,899,800,890.36285,183,1.112953563,0.8564299999999999,0.25814000000000004,0.06381,37,6,599.5848378
Cancer_2W_012_015,Cancer,2W,666,609,734.34068,140,1.205813924,1.796875,0.26163000000000003,0.06763,33,5,499.92424950000003
Cancer_2W_013_016,Cancer,2W,539,470,527.7489099999999,112,1.122870021,0.9908450000000001,0.25645,0.06487000000000001,28,3,355.1087873
Cancer_2W_013_017,Cancer,2W,1225,1059,1061.61929,253,1.002473362,0.8142199999999999,0.24720999999999999,0.06759,67,14,712.2572032
Cancer_2W_014_018,Cancer,2W,1846,1589,1666.74848,400,1.048929188,0.72841,0.25365,0.06614,104,21,1118.377181
Cancer_2W_015_019,Cancer,2W,534,500,522.04425,98,1.0440885,1.21196,0.25429,0.06523999999999999,35,7,363.5167797
Cancer_2W_015_020,Cancer,2W,1137,949,979.2629599999999,267,1.031889315,0.76835,0.2538,0.06732,41,14,641.3988525000001
Cancer_2W_016_021,Cancer,2W,1516,1337,1365.64114,305,1.021421945,0.9079200000000001,0.25019,0.06606000000000001,73,18,921.1745773
Cancer_2W_016_022,Cancer,2W,1413,1271,1259.19864,260,0.990714902,0.9001549999999999,0.24441999999999997,0.06667999999999999,81,17,857.3344583999999
Cancer_2W_017_023,Cancer,2W,908,808,1035.7623199999998,186,1.281884059,1.446495,0.26749,0.06189,37,3,689.1070839
Cancer_2W_018_024,Cancer,2W,656,570,594.1609,136,1.042387544,0.90886,0.2531,0.0674,24,7,394.0884533
Cancer_2W_018_025,Cancer,2W,774,711,699.94118,144,0.9844461040000001,0.86521,0.24729,0.06638,47,9,481.34123669999997
Cancer_2W_019_026,Cancer,2W,950,766,796.81348,248,1.040226475,0.8727799999999999,0.25689,0.06833,30,9,511.6454739
Cancer_2W_020_027,Cancer,2W,613,463,471.077,181,1.017444924,0.72841,0.26589,0.06892999999999999,19,7,294.6106363
Cancer_2W_020_028,Cancer,2W,376,287,376.87482,116,1.313152683,1.292675,0.26632,0.06362000000000001,13,1,233.8769756
Cancer_2W_021_029,Cancer,2W,1139,886,929.5337300000001,317,1.049135135,0.98656,0.26544,0.06722,35,2,582.2943074
Cancer_2W_022_030,Cancer,2W,918,779,787.3100900000001,218,1.010667638,1.0385149999999999,0.25633,0.0658,45,3,518.0699116000001
Cancer_2W_023_031,Cancer,2W,549,477,584.41457,123,1.225187778,1.5141,0.27165,0.057429999999999995,25,5,391.30074260000004
Cancer_2W_024_032,Cancer,2W,1439,1205,1242.651,341,1.0312456429999999,1.21889,0.25416,0.06507,70,9,815.159217
Cancer_2W_024_033,Cancer,2W,612,432,449.99523,204,1.041655625,0.72841,0.26832,0.06947,11,5,270.1081105
Cancer_2W_025_034,Cancer,2W,707,588,663.9839400000001,164,1.129224388,1.6228049999999998,0.26491,0.0653,22,4,435.6248105
Cancer_2W_026_035,Cancer,2W,758,581,624.7663299999999,234,1.075329312,1.17895,0.26183,0.06572,17,4,386.51244429999997
Cancer_2W_026_036,Cancer,2W,545,494,460.09645,109,0.931369332,0.92645,0.2563,0.06518,31,8,314.2715042
Cancer_2W_027_037,Cancer,2W,731,595,595.73608,183,1.001237109,0.78232,0.2582,0.06899,20,4,383.787591
Cancer_2W_027_038,Cancer,2W,613,472,478.4836,175,1.013736441,0.89055,0.2623,0.06606000000000001,25,4,302.3207921
Cancer_2W_028_039,Cancer,2W,1064,965,1119.82457,181,1.160439969,1.25525,0.25809,0.06022,51,10,766.8298269999999
Cancer_2W_029_040,Cancer,2W,1070,855,908.85499,287,1.062988292,1.1921700000000002,0.26456,0.0662,24,4,576.5011387999999
Cancer_2W_030_041,Cancer,2W,478,371,448.70177,141,1.209438733,1.49181,0.26704,0.06238,10,1,278.88257910000004
Cancer_aga_001_042,Cancer,Agarose,1217,1119,1233.53935,227,1.102358668,1.12042,0.2496,0.06462000000000001,70,16,840.9666651
Cancer_aga_002_043,Cancer,Agarose,756,603,692.84562,192,1.148997711,1.296155,0.26334,0.06884,20,6,445.9159654
Cancer_aga_002_044,Cancer,Agarose,462,346,441.68108,140,1.2765349129999999,1.34685,0.27569,0.06773,6,1,270.84864780000004
Cancer_aga_003_045,Cancer,Agarose,1132,940,1032.85241,267,1.09877916,1.13494,0.25605,0.06609,51,9,674.8357219999999
Cancer_aga_004_046,Cancer,Agarose,506,384,466.27647,142,1.214261641,0.95062,0.27304,0.0676,11,2,291.57892710000004
